ID,WORD,LANG,DE,DE_LEN,DE_SILBEN,TR,TR_LEN,TR_SILBEN,KURZ_LEN,KURZ_SILBEN
18,he,TR,Er,2,1,he,2,1,TR/DE,TR/DE
25,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1,eksik,TR,fehlen,6,2,eksik,5,2,TR,TR/DE
1,hose,DE,hose,4,2,pantolon,8,3,DE,DE
1,oberteil,DE,oberteil,8,3,üst,3,1,TR,TR
19,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1,bi,TR,Bi,2,1,bi,2,1,TR/DE,TR/DE
5,yani,TR,Also,4,2,yani,4,2,TR/DE,TR/DE
61,Computer,DE,Computer,8,3,bilgisayar,10,4,DE,DE
58,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
71,ben,TR,ICH,3,1,ben,3,1,TR/DE,TR/DE
61,Funken,DE,Funken,6,2,Kıvılcım,8,3,DE,DE
92,gibi,TR,wie,3,1,gibi,4,2,DE,DE
61,falan,TR,wie,3,1,falan,5,2,DE,DE
95,baktım,TR,Ich habe nachgeschaut,21,4,baktım,6,2,TR,TR
106,falan,TR,wie,3,1,falan,5,2,DE,DE
107,vardı,TR,es gab,6,1,vardı,5,2,TR,DE
118,ama,TR,Aber,4,2,ama,3,2,TR,TR/DE
117,var,TR,Es gibt,7,1,var,3,1,TR,TR/DE
111,dreizehn,DE,dreizehn,8,2,on üç,5,1,TR,TR
121,işte,TR,bei der Arbeit,14,2,işte,4,2,TR,TR/DE
118,auf,DE,auf,3,1,Açık,4,2,DE,DE
164,ben,TR,ICH,3,1,ben,3,1,TR/DE,TR/DE
122,doch,DE,doch,4,1,Ancak,5,2,DE,DE
175,Farben,DE,Farben,6,2,Renkler,7,2,DE,TR/DE
135,frech,DE,frech,5,1,yüzsüz,6,2,DE,DE
101,yalnız,TR,nur,3,1,yalnız,6,2,DE,DE
181,Farbe,DE,Farbe,5,2,Renk,4,1,TR,TR
158,Distanz,DE,Distanz,7,2,mesafe,6,3,TR,DE
209,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
111,nonstop,TR,ununterbrochen,14,5,nonstop,7,2,TR,TR
216,und,DE,und,3,1,Ve,2,1,TR,TR/DE
95,Cafe§ye,MIXED,Cafe§ye,7,2,CafeŞye,7,3,TR/DE,DE
92,Einkaufstraße,DE,Einkaufstraße,13,4,Alışveriş caddesi,17,6,DE,DE
209,Stunde,DE,Stunde,6,2,Saat,4,1,TR,TR
135,motz,TR,motz,4,1,motz,4,1,TR/DE,TR/DE
187,wollt',DE,wollt',6,1,aranan',7,3,DE,DE
217,war,DE,war,3,1,öyleydi,7,3,DE,DE
224,böyle,TR,so was,6,1,böyle,5,2,TR,DE
227,böyle,TR,so was,6,1,böyle,5,2,TR,DE
232,etti,TR,tat,3,1,etti,4,2,DE,DE
258,böyle,TR,so was,6,1,böyle,5,2,TR,DE
232,faszinieren,DE,faszinieren,11,4,büyülemek,9,4,TR,TR/DE
240,Ansage,DE,Ansage,6,3,duyuru,6,3,TR/DE,TR/DE
71,Frankfurt'tayım,MIXED,Ich bin in Frankfurt,20,2,Frankfurt'tayım,15,3,TR,DE
263,gittim,TR,Ich ging,8,1,gittim,6,2,TR,DE
268,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
276,görüyorsun,TR,Du siehst,9,1,görüyorsun,10,4,DE,DE
248,acht,DE,acht,4,1,sekiz,5,2,DE,DE
277,total,DE,total,5,2,toplam,6,2,DE,TR/DE
285,gittim,TR,Ich ging,8,1,gittim,6,2,TR,DE
285,gittim,TR,Ich ging,8,1,gittim,6,2,TR,DE
278,yanına,TR,nächste,7,2,yanına,6,3,TR,DE
278,mi,TR,Ist es,6,1,mi,2,1,TR,TR/DE
280,unfreundlich,DE,unfreundlich,12,3,düşmanca,8,3,TR,TR/DE
287,geliyor,TR,kommt,5,1,geliyor,7,3,DE,DE
289,dedi,TR,sagte er,8,2,dedi,4,2,TR,TR/DE
291,aldım,TR,Ich habe gekauft,16,3,aldım,5,2,TR,TR
292,Saadet,TR,Glück,5,1,Saadet,6,2,DE,DE
294,es,DE,es,2,1,BT,2,1,TR/DE,TR/DE
302,auf,DE,auf,3,1,Açık,4,2,DE,DE
306,falan,TR,wie,3,1,falan,5,2,DE,DE
307,falan,TR,wie,3,1,falan,5,2,DE,DE
287,sordum,TR,Ich fragte,10,2,sordum,6,2,TR,TR/DE
204,indik,TR,wir sind gelandet,17,3,indik,5,2,TR,TR
180,Osaft,TR,Osaft,5,2,Osaft,5,2,TR/DE,TR/DE
302,yaptı,TR,tat,3,1,yaptı,5,2,DE,DE
312,falan,TR,wie,3,1,falan,5,2,DE,DE
187,Whisky-Cola,LANG3,Whisky-Cola,11,4,Viski-Cola,10,4,TR,TR/DE
227,Hütchen,DE,Hütchen,7,2,koni,4,2,TR,TR/DE
308,weißt,DE,weißt,5,1,Bilmek,6,2,DE,DE
308,ich,DE,ich,3,1,BEN,3,1,TR/DE,TR/DE
313,yaptım,TR,Das habe ich getan,18,3,yaptım,6,2,TR,TR
310,yaptım,TR,Das habe ich getan,18,3,yaptım,6,2,TR,TR
322,Gepäck,DE,Gepäck,6,2,bagaj,5,2,TR,TR/DE
322,de,TR,Auch,4,1,de,2,1,TR,TR/DE
339,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
343,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
285,Sydney'e,MIXED,Sydney,6,2,Sidney,6,2,TR/DE,TR/DE
323,dayım,TR,mein Onkel,10,2,dayım,5,2,TR,TR/DE
350,falan,TR,wie,3,1,falan,5,2,DE,DE
316,kenn',DE,kenn',5,1,Bilmek,6,2,DE,DE
353,böyle,TR,so was,6,1,böyle,5,2,TR,DE
316,kenn',DE,kenn',5,1,Bilmek,6,2,DE,DE
347,burası,TR,Hier,4,1,burası,6,3,DE,DE
362,de,TR,Auch,4,1,de,2,1,TR,TR/DE
239,uçaktan,TR,aus dem Flugzeug,16,4,uçaktan,7,3,TR,TR
343,Nachprüfung,DE,Nachprüfung,11,3,Gözden geçirmek,15,4,DE,DE
362,var,TR,Es gibt,7,1,var,3,1,TR,TR/DE
355,tipi,TR,Typ,3,1,tipi,4,2,DE,DE
367,var,TR,Es gibt,7,1,var,3,1,TR,TR/DE
352,Aufregung,DE,Aufregung,9,3,heyecanlanmak,13,5,DE,DE
360,meint,DE,meint,5,1,araç,4,2,TR,DE
296,Zollbeamter§dan,MIXED,Zollbeamter§dan,15,3,Zollbeamter§dan,15,3,TR/DE,TR/DE
362,Anhänger,DE,Anhänger,8,3,Römork,6,2,TR,TR
387,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
362,güm,TR,Boom,4,1,güm,3,1,TR,TR/DE
365,den,DE,den,3,1,the,3,1,TR/DE,TR/DE
319,Aysel,TR,Aysel,5,2,Aysel,5,2,TR/DE,TR/DE
384,was,DE,was,3,1,Ne,2,1,TR,TR/DE
374,29,TR,29,2,1,29,2,1,TR/DE,TR/DE
385,dieses,DE,dieses,6,2,Bu,2,1,TR,TR
390,einpacken,DE,einpacken,9,3,toparlanmak,11,4,DE,DE
390,yaparken,TR,dabei,5,2,yaparken,8,3,DE,DE
412,haben,DE,haben,5,2,sahip olmak,11,3,DE,DE
421,mu,TR,Ist es,6,1,mu,2,1,TR,TR/DE
