item_order,word_position,word,word_with_punct,cs_point,type,sentence_type,sentence,surprisal_nats,surprisal_bits,n_subword_tokens,surprisal
2,1,Zaten,Zaten,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",27.62208366394043,39.85024312098691,3,39.85024312098691
2,2,Hose,Hose,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",15.329147338867188,22.11528484683994,2,22.11528484683994
2,3,und,und,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",7.632485389709473,11.011348821391325,2,11.011348821391325
2,4,Schuhe,Schuhe,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",10.992963790893555,15.859494345794072,2,15.859494345794072
2,5,hab,hab,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",6.763952732086182,9.75832106338809,2,9.75832106338809
2,6,ich,"ich,",0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",16.587705612182617,23.931000626421888,3,23.931000626421888
2,7,bir,bir,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",23.099620819091797,33.32570840211919,2,33.32570840211919
2,8,Oberteil,Oberteil,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",28.690662384033203,41.39187634126423,3,41.39187634126423
2,9,eksik,"eksik,",1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",28.89948844909668,41.693148669739664,3,41.693148669739664
2,10,onu,onu,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",11.22047233581543,16.187719795312724,2,16.187719795312724
