item_order,word_position,word,word_with_punct,cs_point,type,sentence_type,sentence,surprisal_nats,surprisal_bits,n_subword_tokens,surprisal
2,1,Zaten,Zaten,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",27.934650421142578,40.30118163154919,3,40.30118163154919
2,2,Hose,Hose,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",16.453929901123047,23.73800307148485,2,23.73800307148485
2,3,und,und,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",9.106639862060547,13.138104168156506,2,13.138104168156506
2,4,Schuhe,Schuhe,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",15.94815731048584,23.00832746315499,2,23.00832746315499
2,5,hab,hab,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",10.80659008026123,15.590613917712743,2,15.590613917712743
2,6,ich,"ich,",0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",17.634769439697266,25.44159441787149,3,25.44159441787149
2,7,bir,bir,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",23.594295501708984,34.03937311358433,2,34.03937311358433
2,8,Oberteil,Oberteil,1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",33.46702194213867,48.282706589245585,3,48.282706589245585
2,9,eksik,"eksik,",1,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",29.80259132385254,42.99605070856251,3,42.99605070856251
2,10,onu,onu,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",9.216917037963867,13.297200502955466,2,13.297200502955466
2,11,da,da,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",10.876847267150879,15.691973612825247,2,15.691973612825247
2,12,ablamdan,ablamdan,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",38.3663444519043,55.35093487780013,4,55.35093487780013
2,13,yürütürüm,"yürütürüm,",0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",32.39016342163086,46.729128141969944,5,46.729128141969944
2,14,napim,napim.,0,TR-DE,Multilingual,"Zaten Hose und Schuhe hab ich, bir Oberteil eksik, onu da ablamdan yürütürüm, napim.",18.430133819580078,26.58906266442815,4,26.58906266442815
3,1,Benim,Benim,0,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",26.561553955078125,38.320222169295846,2,38.320222169295846
3,2,Ticketa,Ticketa,1,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",29.70907974243164,42.86114201378089,3,42.86114201378089
3,3,baktım,"baktım,",1,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",24.969608306884766,36.023530077282516,4,36.023530077282516
3,4,Eingang,Eingang,1,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",31.77190399169922,45.837168328424724,3,45.837168328424724
3,5,bilmem,bilmem,0,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",15.141497611999512,21.84456351646378,3,21.84456351646378
3,6,ne,ne,0,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",8.868810653686523,12.794989148656754,2,12.794989148656754
3,7,neun,neun,1,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",31.650936126708984,45.66264858949639,3,45.66264858949639
3,8,oder,oder,0,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",19.207332611083984,27.71032350671573,2,27.71032350671573
3,9,so,so.,0,TR-DE,Multilingual,"Benim Ticketa baktım, Eingang bilmem ne neun oder so.",11.09451961517334,16.006008429855907,3,16.006008429855907
